name,category,season,score,action_class,action_now,current_window_stage,next_window_stage,current_window_start,current_window_end,next_window_start,next_window_end,outdoor_plant_date,estimated_harvest_date,water_inches_per_week,water_events_per_week,gallons_per_sqft_per_week,gallons_per_plant_per_week,avg_temp_c_used,rain_mm_used,et0_mm_used,min_sun_hours,space_sqft_per_plant,days_to_maturity,description,when_to_plant_text,watering_text,raw_optimal_sun,raw_spacing,notes
Beets,vegetable,cool,100.0,plant_outdoors_now,Direct sow outdoors now.,spring_direct,fall_direct,2026-03-13,2026-05-08,2026-07-28,2026-09-15,2026-03-20,2026-05-19,0.31,2,0.19,0.04,12.1,18.7,15.5,5.0,0.2,60,"Beets are a cool season vegetable crop. This root veggie grows quickly and has many different varieties which showcase deep red, yellow or white bulbs of different shapes. They can survive frost and almost freezing temperatures, which makes them a good choice for northern gardeners and an excellent long-season crop.","Wait until soil reaches 50 degrees before planting. Early crop can be planted in March/April, and late crop anytime from June to September. Successive plantings are also possible as long as the weather doesn’t exceed 75 degrees F. Space plantings about 20 days apart. Winter crops are a definite possibility in Zone 9 and above.",Beets need to maintain plenty of moisture.,Full-Part Sun,"Thinning is necessary, as you may get more than one seedling out of each seed. Thin when they read about 2 inches high by pinching them off. Pulling them out of the ground may disturb the close surrounding roots of nearby seedlings. Established plants should be thinned to 3–4 inches between plants.",Cool-weather root crop; workable in spring and fall.
Broccoli,vegetable,cool,100.0,plant_outdoors_now,Transplant outdoors now.,spring_transplant,fall_direct,2026-03-20,2026-05-01,2026-07-12,2026-08-11,2026-03-20,2026-06-08,0.56,2,0.35,0.52,12.1,18.7,15.5,6.0,1.5,80,"Broccoli is a cool-season crop that, like spinach, can be grown in the spring or fall. In fact, you may be able to get a continual harvest throughout both seasons if you time planting correctly. A member of the cabbage family, broccoli is rich in vitamins.","Broccoli can germinate in soil with temperatures as low as 40ºF. For spring plantings, seed or set transplants 2 to 3 weeks before last spring frost date. If you transplant, assume 10 less days for growth or the “days to maturity” on the seed packet. For fall plantings, seed 85 to 100 days before your average first fall frost. If you live in a warm climate, a fall planting is best, as broccoli thrives in cool weather. Plant seeds in mid- to late-summer in most places.","Provide consistent soil moisture with regular watering, especially in drought conditions. Some varieties of broccoli are heat tolerant, but all need moisture. Do not get developing heads wet when watering.",Full Sun(at least 6 hours a day),"Space plants 12 to 24 inches apart, depending on the side heads you want to harvest. If you overseed, you will need to thin seedlings to 12 inches apart to give room for the broccoli to grow.",Strong spring and fall crop; struggles in sustained heat.
Carrots,vegetable,cool,100.0,plant_outdoors_now,Direct sow outdoors now.,spring_direct,fall_direct,2026-03-06,2026-05-01,2026-07-28,2026-09-08,2026-03-20,2026-06-03,0.31,2,0.19,0.03,12.1,18.7,15.5,6.0,0.15,75,"Carrots are a popular root vegetable that are easy to grow in sandy soil. They are resistant to most pests and diseases, and are a good late season crop that can tolerate frost. Not all carrots are orange; varieties vary in color from purple to white.",Plan to plant seeds outdoors 3 to 5 weeks before the last spring frost date.,Water at least one inch per week.,Full Sun(at least 6 hours a day),Final spacing should be 3-4 inches in all directions.,Direct sow only; keep seed bed evenly moist.
Cilantro,herb,cool,100.0,plant_outdoors_now,Direct sow outdoors now.,spring_direct,fall_direct,2026-03-13,2026-05-01,2026-07-28,2026-09-22,2026-03-20,2026-05-04,0.11,2,0.07,0.02,12.1,18.7,15.5,4.0,0.25,45,"Coriander/cilantro is a fast-growing, aromatic herb that grows in the cooler weather of spring and fall. This herb is used to flavor many recipes and the entire plant is edible. The leaves are called cilantro and the seeds are called coriander.","Plant cilantro in the spring after the last frost date or in the fall. In the Southwest, a fall planting may last through spring when the weather heats up again. Do not grow in summer heat as the plants will bolt (so it is past harvesting). The leaves that grow on bolted plants tend to be bitter in flavor.","Water the seedlings regularly throughout the growing season. They require about 1 inch of water per week for best growth. Once the plants are established, they do not need as much water per week. Keep them moist, but be careful not to overwater them.",Full-Part Sun,Space rows about 12 inches apart. Thin seedlings to 6 inches apart so that they have room to develop healthy leaves.,Prefers cooler weather and can bolt in heat.
Kale,vegetable,cool,100.0,plant_outdoors_now,Transplant outdoors now.,spring_transplant,fall_direct,2026-03-20,2026-05-01,2026-07-28,2026-09-22,2026-03-20,2026-05-14,0.31,2,0.19,0.19,12.1,18.7,15.5,4.0,1.0,55,"Kale is a hardy, cool-season green that is part of the cabbage family. It grows best in the spring and fall and can tolerate all fall frosts. Kale can be used in salads or as a garnish and is rich in minerals and vitamins A and C.",You can plant kale anytime from early spring to early summer. If you plant kale late in the summer you can harvest it from fall until the ground freezes in winter.,Water the plants regularly but be sure not to overwater them.,Full Sun(at least 6 hours a day),"After about 2 weeks, thin the seedlings so that they are spaced 8-12 inches apart.  Transplant to 8-12 inches apart.",Cold tolerant and beginner-friendly.
Lettuce,vegetable,cool,100.0,plant_outdoors_now,Direct sow outdoors now.,spring_direct,spring_transplant,2026-02-27,2026-05-01,2026-03-27,2026-05-01,2026-03-20,2026-05-09,0.31,2,0.19,0.1,12.1,18.7,15.5,4.0,0.5,50,"This is a half-hardy vegetable that you can keep growing all season long by planting one small crop at a time. Days to maturity tend to be short. Garden lettuce is far superior, in both taste and vitamin A content, to supermarket brands.","Lettuce is a cool-season crop that grows well in the spring and fall in most areas. Lettuce seedlings will even tolerate a light frost. 45-65°F is the ideal temperature. Start seeds indoors 4 to 6 weeks before last spring frost date for earliest crop. Direct sowing is recommended as soon as the ground can be worked. Snow won’t hurt them, but a desiccating cold wind will. Harden off seedlings for about one week, and transplant outside between 2 weeks before and 2 weeks after last spring frost.","Make sure soil remains moist but is well-drained. Lettuce will tell you when it needs water. Just look at it. If the leaves are wilting, sprinkle them anytime—even in the heat of the day—to cool them off and slow down the transpiration rate.",Part Sun,Final spacing for Cos and loose-headed types should be 8 inches in all directions and 16 inches for firm-headed types.,Fast-growing cool-season crop; good for succession planting.
