name,category,season,score,action_class,action_now,current_window_stage,next_window_stage,current_window_start,current_window_end,next_window_start,next_window_end,outdoor_plant_date,estimated_harvest_date,water_inches_per_week,water_events_per_week,gallons_per_sqft_per_week,gallons_per_plant_per_week,avg_temp_c_used,rain_mm_used,et0_mm_used,min_sun_hours,space_sqft_per_plant,days_to_maturity,description,when_to_plant_text,watering_text,raw_optimal_sun,raw_spacing,notes
Basil,herb,warm,100.0,plant_outdoors_now,Direct sow outdoors now.,spring_direct,fall_direct,2026-02-05,2026-04-16,2026-09-27,2026-11-08,2026-04-12,2026-06-16,1.75,4,1.09,1.09,29.9,0.0,51.6,6.0,1.0,65,"Basil is a leafy, fragrant annual with a bushy appearance. The most common type of basil is sweet basil; other types include purple basil (less sweet than common basil), Lemon basil (lemon flavor), and Thai basil (licorice flavor). Basil is easy to grow and works well in Italian dishes, but it only grows in the summer, so plan accordingly.","To get a head start, start the seeds indoors 6 weeks before the last spring frost. Plant the seeds/seedlings about 10 to 12 inches apart. After the last frost date, plant the seeds/seedlings in the ground. The soil should be around 70ºF for best growth.",Make sure soil remains moist but is well-drained.,Full Sun(at least 6 hours a day),They should grow to about 12 to 24 inches in height. Final spacing should be 12-24 inches in all directions.,Good companion herb for tomatoes.
Beans,vegetable,warm,100.0,plant_outdoors_now,Direct sow outdoors now.,spring_direct,fall_direct,2026-02-05,2026-04-16,2026-09-27,2026-11-08,2026-04-12,2026-06-11,1.75,4,1.09,0.55,29.9,0.0,51.6,6.0,0.5,60,"Pole and bush beans (more commonly called green beans) are a tender vegetable and a great addition to any garden, great eaten fresh off the plant or incorporated into a recipe. Bush beans require less maintenance, so they are easier to grow.","Seeds can be sown outdoors anytime after last spring frost, minimum soil temp is 48°F.","Mulch soil to retain moisture; make sure that it is well-drained. Water regularly, from start of pod to set. Water on sunny days so foliage will not remain soaked.",Full Sun(at least 6 hours a day),Final plant spacing should be 2 to 4 inches apart in all directions.,Direct sow after frost risk has passed.
Bell Peppers,vegetable,warm,100.0,plant_outdoors_now,Transplant outdoors now.,spring_transplant,fall_transplant,2026-02-12,2026-04-16,2026-08-30,2026-09-27,2026-04-12,2026-07-01,1.75,4,1.09,1.64,29.9,0.0,51.6,8.0,1.5,80,"Peppers are a tender, warm-season crop. They resist most pests and offer something for everyone: spicy, sweet or hot, and a variety of colors, shapes and sizes. For this page, we will focus on sweet bell peppers.","Start seeds indoors 8-10 weeks before last spring frost date. Soil should be at least 65 degrees F, peppers will not survive transplanting at temps any colder. Northern gardeners can warm up the soil by covering it with black plastic.","Soil should be well-drained, but maintain adequate moisture either with mulch or plastic covering. Water one to two inches per week, but remember peppers are extremely heat sensitive. If you live in a warm or desert climate, watering everyday may be necessary.",Full Sun(at least 6 hours a day),Final plant spacing should be 18 to 24 inches apart in all directions.,Best performance comes from transplants.
Tomatoes,vegetable,warm,91.5,plant_outdoors_now,Transplant outdoors now.,spring_transplant,fall_transplant,2026-02-05,2026-04-30,2026-08-30,2026-10-11,2026-04-12,2026-06-26,2.0,4,1.25,4.98,29.9,0.0,51.6,8.0,4.0,75,"Tomatoes are America’s favorite garden vegetable. (Yes, we technically eat the fruit of the tomato plant, but it's used as a vegetable in eating and cooking and, thus, usually categorized in vegetables.) This vine plant is fairly easy to grow and will produce a bumper crop with proper care. Its uses are versatile, however, tomatoes are susceptible to a range of pests and diseases.","Wait 5-6 weeks after the last frost date to transplant outdoors. For optimal germination, keep the soil at around 80-85°F. For earliest crops, set plants out around the last frost date under floating row covers which will protect from frost to about 28°F. If possible, avoid setting out unprotected plants until night temperatures are over 45°F.",Make sure soil remains moist but is well-drained.,Full Sun(at least 6 hours a day),"Final plant spacing should be 12 to 24 inches apart in all directions for determinate varitieties, 24-36"" apart for indeterminate, unstaked varieties, and 14-20"" for staking.",Best started indoors or purchased as a transplant.
