name,category,season,score,action_class,action_now,current_window_stage,next_window_stage,current_window_start,current_window_end,next_window_start,next_window_end,outdoor_plant_date,estimated_harvest_date,water_inches_per_week,water_events_per_week,gallons_per_sqft_per_week,gallons_per_plant_per_week,avg_temp_c_used,rain_mm_used,et0_mm_used,min_sun_hours,space_sqft_per_plant,days_to_maturity,description,when_to_plant_text,watering_text,raw_optimal_sun,raw_spacing,notes
Basil,herb,warm,100.0,plant_outdoors_now,Direct sow outdoors now.,spring_direct,fall_direct,2026-02-05,2026-04-16,2026-09-27,2026-11-08,2026-02-05,2026-04-11,1.75,4,1.09,1.09,29.9,0.0,51.6,6.0,1.0,65,"Basil is a leafy, fragrant annual with a bushy appearance. The most common type of basil is sweet basil; other types include purple basil (less sweet than common basil), Lemon basil (lemon flavor), and Thai basil (licorice flavor). Basil is easy to grow and works well in Italian dishes, but it only grows in the summer, so plan accordingly.","To get a head start, start the seeds indoors 6 weeks before the last spring frost. Plant the seeds/seedlings about 10 to 12 inches apart. After the last frost date, plant the seeds/seedlings in the ground. The soil should be around 70ºF for best growth.",Make sure soil remains moist but is well-drained.,Full Sun(at least 6 hours a day),They should grow to about 12 to 24 inches in height. Final spacing should be 12-24 inches in all directions.,Good companion herb for tomatoes.
Beans,vegetable,warm,100.0,plant_outdoors_now,Direct sow outdoors now.,spring_direct,fall_direct,2026-02-05,2026-04-16,2026-09-27,2026-11-08,2026-02-05,2026-04-06,1.75,4,1.09,0.55,29.9,0.0,51.6,6.0,0.5,60,"Pole and bush beans (more commonly called green beans) are a tender vegetable and a great addition to any garden, great eaten fresh off the plant or incorporated into a recipe. Bush beans require less maintenance, so they are easier to grow.","Seeds can be sown outdoors anytime after last spring frost, minimum soil temp is 48°F.","Mulch soil to retain moisture; make sure that it is well-drained. Water regularly, from start of pod to set. Water on sunny days so foliage will not remain soaked.",Full Sun(at least 6 hours a day),Final plant spacing should be 2 to 4 inches apart in all directions.,Direct sow after frost risk has passed.
Bell Peppers,vegetable,warm,100.0,plant_outdoors_now,Transplant outdoors now.,spring_transplant,fall_transplant,2026-02-12,2026-04-16,2026-08-30,2026-09-27,2026-02-12,2026-05-03,1.75,4,1.09,1.64,29.9,0.0,51.6,8.0,1.5,80,"Peppers are a tender, warm-season crop. They resist most pests and offer something for everyone: spicy, sweet or hot, and a variety of colors, shapes and sizes. For this page, we will focus on sweet bell peppers.","Start seeds indoors 8-10 weeks before last spring frost date. Soil should be at least 65 degrees F, peppers will not survive transplanting at temps any colder. Northern gardeners can warm up the soil by covering it with black plastic.","Soil should be well-drained, but maintain adequate moisture either with mulch or plastic covering. Water one to two inches per week, but remember peppers are extremely heat sensitive. If you live in a warm or desert climate, watering everyday may be necessary.",Full Sun(at least 6 hours a day),Final plant spacing should be 18 to 24 inches apart in all directions.,Best performance comes from transplants.
Eggplant,vegetable,warm,100.0,plant_outdoors_now,Transplant outdoors now.,spring_transplant,fall_transplant,2026-02-19,2026-04-16,2026-08-30,2026-09-27,2026-02-19,2026-05-10,1.75,4,1.09,2.45,29.9,0.0,51.6,8.0,2.25,80,"Eggplants are short-lived perennial vegetables, but are usually cultivated as annuals. Also known as aubergines, eggplants differ mainly in size, shape and color of the fruits. Eggplants are tropical and subtropical, requiring relatively high temperatures. Related crop include tomatoes, potatoes and peppers.",Start plants indoors 2 months before the soil warms up or buy nursery transplants just before planting.,Water well to where the soil is moist like a rung out sponge.,Full Sun(at least 6 hours a day),Final plant spacing should be 24 to 30 inches apart in all directions.,Needs stable warm nights before transplanting outdoors.
Okra,vegetable,warm,100.0,plant_outdoors_now,Direct sow outdoors now.,spring_direct,fall_direct,2026-02-19,2026-04-16,2026-09-13,2026-10-25,2026-02-19,2026-04-20,1.75,4,1.09,1.64,29.9,0.0,51.6,8.0,1.5,60,Okra is traditionally a southern U.S. plant that thrives in warm weather. It is easy to grow and use and looks great throughout the growing season due to its beautiful flowers. Okra is also rich in vitamin A and low in calories.,"You can start okra seeds indoors in peat pots under full light 3 to 4 weeks before the last spring frost date. You can also start okra directly in your garden 3 to 4 weeks before the last spring frost date as long as you cover the plants with a cold frame or grow tunnel until the weather warms up. Make sure that the covering is 2 to 3 feet tall so that the plants have room to grow. If you do not start your okra plants early, wait until there is stable warm weather. You can plant okra in the garden when the soil has warmed to 65° to 70°F.","Keep the plants well watered throughout the summer months; 1 inch of water per week is ideal, but use more if you are in a hot, arid region.",Full Sun(at least 6 hours a day),"When the seedlings are about 3 inches tall, thin the plants so that they are 10 to 18 inches apart.",Thrives in heat; especially useful in Arizona-like climates.
